NCES_ID,metro,metroname,name,SD6870,city,zip,county,stateab,G1_READ_D,NREAD1_D,G2_READ_D,NREAD2_D,G4_READ_D,NREAD4_D,G8_READ_D,NREAD8_D,G9_READ_D,NREAD9_D,G10_READ_D,NREAD10_D,G12_READ_D,NREAD12_D,GHS_READ_D,NHSREAD_D,G1_MATH_D,NMATH1_D,G2_MATH_D,NMATH2_D,G4_MATH_D,NMATH4_D,G8_MATH_D,NMATH8_D,G9_MATH_D,NMATH9_D,G10_MATH_D,NMATH10_D,G12_MATH_D,NMATH12_D,GHS_MATH_D,NMATHHS_D,G3_READ_D,NREAD3_D,G3_MATH_D,NMATH3_D,G5_READ_D,NREAD5_D,G5_MATH_D,NMATH5_D,G6_READ_D,NREAD6_D,G6_MATH_D,NMATH6_D,G7_READ_D,NREAD7_D,G7_MATH_D,NMATH7_D,G11_READ_D,NREAD11_D,G11_MATH_D,NMATH11_D
100750, , , , , , , , , , , , ,169,18.54,165,42.65, , , , ,130,17.77, , , , , , ,169,20.88, , , , , , ,130,64.5, , , , , , , , , , ,134,72.07,134,64.34, , , , ,126,20.7,126,68.81
100780, , , , , , , , , , , , ,205,58.82,226,48.88, , , , ,161,28.52, , , , , , ,205,47.48, , , , , , ,161,28.32, , , , , , , , , , ,229,51.12,229,54.97, , , , ,167,35.57,167,25.46
100810, , , , , , , , , , , , ,157,56.43,181,51.91, , , , ,120,55.13, , , , , , ,157,49.89, , , , , , ,120,35.92, , , , , , , , , , ,175,52.11,175,70.85, , , , ,127,66.17,127,39.31
100840,2650,"Florence, AL",COLBERT COUNTY,COLBERT COUNTY,CHEROKEE,AL35674,COLBERT,AL, , , , ,248,38.2,284,42.79, , , , ,188,39.7, , , , , , ,248,30.12, , , , , , ,188,44.96, , , , , , , , , , ,267,40.66,267,47.6, , , , ,202,16.37,202,25.01
100870, , , , , , , , , , , , ,161,31.79,150,41.31, , , , ,81,91, , , , , , ,161,35.17, , , , , , ,81,92, , , , , , , , , , ,174,20.87,174,15.8, , , , ,92,57,92,72
100900, , , , , , , , , , , , ,118,8,151,23, , , , ,89,41, , , , , , ,118,10, , , , , , ,89,48, , , , , , , , , , ,158,9,158,14, , , , ,102,44,102,31
100930, , , , , , , , , , , , ,219,75.37,287,66.51, , , , ,189,66.26, , , , , , ,219,81.43, , , , , , ,189,92, , , , , , , , , , ,275,72.9,275,67.67, , , , ,197,82.6,197,90.84
100960, , , , , , , , , , , , ,173,35.65,211,53.98, , , , ,158,17.34, , , , , , ,173,43.49, , , , , , ,158,22.47, , , , , , , , , , ,219,35.08,219,53.87, , , , ,158,56.71,158,56.28
100990, , , , , , , , , , , , ,189,81,215,87, , , , ,206,72, , , , , , ,189,85.34, , , , , , ,206,57, , , , , , , , , , ,221,58.59,221,77.06, , , , ,214,62,214,81
101020, , , , , , , , , , , , ,769,64.7,795,49.38, , , , ,571,54.55, , , , , , ,769,61.16, , , , , , ,571,59.91, , , , , , , , , , ,791,56.47,791,59.65, , , , ,597,53.24,597,51.7
101050,2180,"Dothan, AL",DALE COUNTY,DALE COUNTY,SKIPPERVILLE,AL36361,DALE,AL, , , , ,215,50.6,222,48.67, , , , ,183,63.18, , , , , , ,215,66.53, , , , , , ,183,54.34, , , , , , , , , , ,199,57.36,199,66.23, , , , ,181,74.83,181,75.49
101080,2180,"Dothan, AL",DALEVILLE CITY,DALEVILLE CITY,DALEVILLE,AL36322,DALE,AL, , , , ,105,60,126,84, , , , ,124,49, , , , , , ,105,57, , , , , , ,124,38, , , , , , , , , , ,111,74,111,60, , , , ,138,73,138,70
101110, , , , , , , , , , , , ,316,27.68,385,32.22, , , , ,298,16.94, , , , , , ,316,24.02, , , , , , ,298,50.53, , , , , , , , , , ,386,35.89,386,16.49, , , , ,284,26.9,284,19.7
101140, , , , , , , , , , , , ,657,50.25,663,51.83, , , , ,390,33.71, , , , , , ,657,57.08, , , , , , ,390,25.7, , , , , , , , , , ,664,47.15,664,57.14, , , , ,470,57.43,470,46.51
101170,2030,"Decatur, AL",DECATUR CITY,DECATUR CITY,DECATUR,AL35601,MORGAN,AL, , , , ,706,53.38,672,67.31, , , , ,425,67.73, , , , , , ,706,42.06, , , , , , ,425,81.85, , , , , , , , , , ,756,37.1,756,48.74, , , , ,541,62.73,541,80.7
101200, , , , , , , , , , , , ,234,28,194,48, , , , ,124,57, , , , , , ,234,21, , , , , , ,124,64, , , , , , , , , , ,200,49,200,34, , , , ,125,70,125,84
101230,2180,"Dothan, AL",DOTHAN CITY,DOTHAN CITY,DOTHAN,AL36301,HOUSTON,AL, , , , ,636,49.87,697,38.7, , , , ,571,55.51, , , , , , ,636,48.61, , , , , , ,571,60.76, , , , , , , , , , ,688,39.35,688,40.2, , , , ,581,64.77,581,53.32
101260, , , , , , , , , , , , ,78,56,82,47, , , , ,61,32, , , , , , ,78,67, , , , , , ,61,55, , , , , , , , , , ,65,78,65,37, , , , ,73,19,73,39
101290,5240,"Montgomery, AL",ELMORE COUNTY,ELMORE COUNTY,WETUMPKA,AL36092,ELMORE,AL, , , , ,778,54.04,880,66.11, , , , ,566,37.13, , , , , , ,778,45.22, , , , , , ,566,32.8, , , , , , , , , , ,859,63.64,859,44.25, , , , ,666,36.14,666,41.81
101320, , , , , , , , , , , , ,390,57.35,451,76.14, , , , ,373,67, , , , , , ,390,61.09, , , , , , ,373,83, , , , , , , , , , ,437,71.16,437,86.4, , , , ,414,60,414,66
101350, , , , , , , , , , , , ,356,34.4,331,36.41, , , , ,253,31.23, , , , , , ,356,36.55, , , , , , ,253,31.3, , , , , , , , , , ,368,24.01,368,21.54, , , , ,279,44.1,279,27.61
101380,2880,"Gadsden, AL",ETOWAH COUNTY,ETOWAH COUNTY,GADSDEN,AL35904,ETOWAH,AL, , , , ,674,75.92,645,71.9, , , , ,473,64.15, , , , , , ,674,75.87, , , , , , ,473,62.02, , , , , , , , , , ,685,64.41,685,66.72, , , , ,532,76.33,532,57.65
101410, , , , , , , , , , , , ,239,69.1,256,40, , , , ,148,25, , , , , , ,239,58.97, , , , , , ,148,52, , , , , , , , , , ,266,20,266,36, , , , ,216,32,216,62
101440,1000,"Birmingham, AL",FAIRFIELD CITY,FAIRFIELD CITY,FAIRFIELD,AL35064,JEFFERSON,AL, , , , ,167,46.08,208,21, , , , ,100,49, , , , , , ,167,55.38, , , , , , ,100,17, , , , , , , , , , ,183,16,183,26, , , , ,153,36,153,18
101470, , , , , , , , , , , , ,208,68.07,222,49.08, , , , ,171,39.96, , , , , , ,208,61.63, , , , , , ,171,56.71, , , , , , , , , , ,225,73.05,225,67.35, , , , ,171,59.64,171,66.05
101500, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
101530,2650,"Florence, AL",FLORENCE CITY,FLORENCE CITY,FLORENCE,AL35630,LAUDERDALE,AL, , , , ,309,36.39,322,70, , , , ,325,61.71, , , , , , ,309,26.9, , , , , , ,325,73.46, , , , , , , , , , ,275,54,275,59, , , , ,347,77.5,347,61.76
101560, , , , , , , , , , , , ,222,34,225,57, , , , ,145,45, , , , , , ,222,28, , , , , , ,145,59, , , , , , , , , , ,189,43,189,79, , , , ,169,49,169,50
101590, , , , , , , , , , , , ,233,74.97,228,55.57, , , , ,177,18.76, , , , , , ,233,74.32, , , , , , ,177,25.64, , , , , , , , , , ,240,64.16,240,61.11, , , , ,193,53.76,193,40.56
101620,2880,"Gadsden, AL",GADSDEN CITY,GADSDEN CITY,GADSDEN,AL35902,ETOWAH,AL, , , , ,443,48.55,424,42.49, , , , ,290,76.04, , , , , , ,443,50.58, , , , , , ,290,66.74, , , , , , , , , , ,418,32.02,418,28.36, , , , ,328,44.92,328,61.46
101640, , , , , , , , , , , , ,94,43,108,54, , , , ,100,60, , , , , , ,94,43, , , , , , ,100,92, , , , , , , , , , ,96,82,96,66, , , , ,80,62,80,89
101660, , , , , , , , , , , , ,226,32.1,211,30.2, , , , ,150,23.37, , , , , , ,226,44.42, , , , , , ,150,19.01, , , , , , , , , , ,267,29.1,267,72.91, , , , ,181,43.62,181,50.36
101680, , , , , , , , , , , , ,149,19.28,144,5, , , , ,98,2, , , , , , ,149,15.36, , , , , , ,98,7, , , , , , , , , , ,143,13,143,16.66, , , , ,96,21,96,14
101690, , , , , , , , , , , , ,140,62,148,85, , , , ,119,78, , , , , , ,140,46, , , , , , ,119,92, , , , , , , , , , ,145,94,145,85, , , , ,132,84,132,92
101710, , , , , , , , , , , , ,270,27.52,238,37.99, , , , ,226,45.54, , , , , , ,270,16.83, , , , , , ,226,66.57, , , , , , , , , , ,260,48.24,260,25.67, , , , ,209,55.15,209,72.22
101720, , , , , , , , , , , , ,141,32,141,85, , , , ,115,66, , , , , , ,141,20, , , , , , ,115,59, , , , , , , , , , ,134,54,134,29, , , , ,111,48,111,41
101730,2030,"Decatur, AL",HARTSELLE CITY, ,HARTSELLE,AL35640, ,AL, , , , ,216,83.11,278,90, , , , ,189,91, , , , , , ,216,76.33, , , , , , ,189,79, , , , , , , , , , ,247,88,247,85, , , , ,203,97,203,86
101740, , , , , , , , , , , , ,224,45.56,220,54.64, , , , ,149,47.38, , , , , , ,224,41.25, , , , , , ,149,67.71, , , , , , , , , , ,232,21.16,232,20.77, , , , ,156,51.81,156,54.33
101760,1000,"Birmingham, AL",HOMEWOOD CITY,HOMEWOOD CITY,HOMEWOOD,AL35259,JEFFERSON,AL, , , , ,238,81.5,279,93, , , , ,244,78, , , , , , ,238,85.9, , , , , , ,244,81, , , , , , , , , , ,260,87,260,92, , , , ,245,97,245,97
101770,2180,"Dothan, AL",HOUSTON COUNTY,HOUSTON COUNTY,COTTONWOOD,AL36302,HOUSTON,AL, , , , ,473,61.06,539,56.36, , , , ,379,40.36, , , , , , ,473,48.79, , , , , , ,379,52.57, , , , , , , , , , ,494,59.63,494,55.09, , , , ,396,45.78,396,73.98
101800,3440,"Huntsville, AL",HUNTSVILLE CITY,HUNTSVILLE CITY,HUNTSVILLE,AL35807,MADISON,AL, , , , ,1769,56.81,1750,56.23, , , , ,1240,69.32, , , , , , ,1769,54.49, , , , , , ,1240,65.48, , , , , , , , , , ,1897,56.72,1897,57.42, , , , ,1327,74.19,1327,74.49
101830, , , , , , , , , , , , ,419,66.63,485,70.35, , , , ,329,65.96, , , , , , ,419,74.08, , , , , , ,329,54.76, , , , , , , , , , ,482,72.97,482,60.89, , , , ,389,60.85,389,63.9
101860,450,"Anniston, AL",JACKSONVILLE CITY,JACKSONVILLE CITY,JACKSONVILLE,AL36265,CALHOUN,AL, , , , ,128,68,123,72, , , , ,110,64, , , , , , ,128,64, , , , , , ,110,57, , , , , , , , , , ,138,84,138,84, , , , ,125,76,125,73
101890, , , , , , , , , , , , ,191,89.52,193,85, , , , ,188,81, , , , , , ,191,92.86, , , , , , ,188,77, , , , , , , , , , ,184,91,184,94, , , , ,185,82,185,87
101920,1000,"Birmingham, AL",JEFFERSON COUNTY,JEFFERSON COUNTY SCHOOLS,CLAY,AL35209,JEFFERSON,AL, , , , ,2835,57.01,3186,68.08, , , , ,2519,52.77, , , , , , ,2835,52.66, , , , , , ,2519,43.22, , , , , , , , , , ,3187,54.18,3187,53.07, , , , ,2685,63.02,2685,55.64
101950, , , , , , , , , , , , ,188,72.74,217,42.21, , , , ,184,51.45, , , , , , ,188,68.7, , , , , , ,184,43.46, , , , , , , , , , ,200,39.65,200,44.85, , , , ,157,54.9,157,68.72
101980, , , , , , , , , , , , ,89,29,82,16, , , , ,65,33, , , , , , ,89,32, , , , , , ,65,14, , , , , , , , , , ,84,8,84,17, , , , ,46,41,46,29
102010,2650,"Florence, AL",LAUDERDALE COUNTY,LAUDERDALE COUNTY,ANDERSON,AL35631,LAUDERDALE,AL, , , , ,675,54.31,723,61.16, , , , ,548,73.51, , , , , , ,675,54.35, , , , , , ,548,79.35, , , , , , , , , , ,690,64.95,690,72.7, , , , ,609,78.54,609,69.08
102040,2030,"Decatur, AL",LAWRENCE COUNTY, ,COURTLAND,AL35650, ,AL, , , , ,439,44.89,537,38.29, , , , ,364,52.65, , , , , , ,439,45.22, , , , , , ,364,69.71, , , , , , , , , , ,466,65.67,466,60.17, , , , ,431,40.33,431,34.39
102070,580,"Auburn--Opelika, AL",LEE COUNTY,LEE COUNTY,LOACHAPOKA,AL36803,LEE,AL, , , , ,768,45.54,832,47.3, , , , ,489,40.49, , , , , , ,768,31.42, , , , , , ,489,34.42, , , , , , , , , , ,801,47.57,801,46.29, , , , ,617,39.41,617,27.91
102100,3440,"Huntsville, AL",LIMESTONE COUNTY,LIMESTONE COUNTY,ARDMORE,AL35611,LIMESTONE,AL, , , , ,571,71.54,657,74.83, , , , ,412,36.26, , , , , , ,571,71.39, , , , , , ,412,32.15, , , , , , , , , , ,654,63.44,654,64.82, , , , ,489,66.21,489,53.19
102130, , , , , , , , , , , , ,38,16,49,14, , , , ,40,25, , , , , , ,38,3, , , , , , ,40,31, , , , , , , , , , ,44,62,44,2, , , , ,51,81,51,33
102160, , , , , , , , , , , , ,174,11.63,222,16.76, , , , ,154,15.19, , , , , , ,174,42.7, , , , , , ,154,28.36, , , , , , , , , , ,189,17.34,189,19.66, , , , ,156,11,156,28.5
102190, , , , , , , , , , , , ,291,21.8,331,14.53, , , , ,229,39.37, , , , , , ,291,34.06, , , , , , ,229,30.02, , , , , , , , , , ,298,17.33,298,16.51, , , , ,243,18.07,243,10.96
102220,3440,"Huntsville, AL",MADISON COUNTY,MADISON COUNTY,HAZEL GREEN,AL35804,MADISON,AL, , , , ,1401,74.73,1416,82.42, , , , ,957,73.41, , , , , , ,1401,71.62, , , , , , ,957,68.24, , , , , , , , , , ,1341,72.4,1341,77.06, , , , ,1132,77.75,1132,79.89
102250, , , , , , , , , , , , ,130,33.88,139,21.91, , , , ,106,27.98, , , , , , ,130,40.62, , , , , , ,106,41.84, , , , , , , , , , ,158,41.17,158,32.37, , , , ,124,50.08,124,47.85
102310, , , , , , , , , , , , ,301,56.19,288,56.59, , , , ,228,40.18, , , , , , ,301,44.6, , , , , , ,228,48.39, , , , , , , , , , ,323,62.12,323,56.72, , , , ,244,56.16,244,66.82
102350,1000,"Birmingham, AL",MIDFIELD CITY,MIDFIELD CITY,MIDFIELD,AL35228,JEFFERSON,AL, , , , ,87,26,106,18, , , , ,69,6, , , , , , ,87,11, , , , , , ,69,27, , , , , , , , , , ,112,18,112,18, , , , ,85,27,85,7
102370,5160,"Mobile, AL",MOBILE COUNTY,MOBILE CITY-COUNTY,SEMMES,AL36633,MOBILE,AL, , , , ,5234,52.55,4905,43.95, , , , ,3003,64.87, , , , , , ,5234,63.43, , , , , , ,3003,61.86, , , , , , , , , , ,5462,38.1,5462,38.92, , , , ,4574,53.07,4574,48.15
102400, , , , , , , , , , , , ,363,54.88,348,40.39, , , , ,284,24.81, , , , , , ,363,48.19, , , , , , ,284,42.59, , , , , , , , , , ,382,51.69,382,40.28, , , , ,298,19.67,298,14.2
